hi	hai
i gave it back	aku mengembalikannya
i go to school	saya pergi ke sekolah
i hate dancing	aku benci menari
i hate spiders	aku benci laba laba laba
i hate you all	aku benci kalian semua
i have a fever	saya demam
i have a house	saya punya rumah
i have an idea	aku punya ide
i have no clue	aku tidak tahu sama sekali
i have no time	saya tidak punya waktu
i have to help	aku harus membantu
i kept playing	aku terus bermain
i like lasagna	aku suka lasagna
i like lettuce	aku suka selada
i like noodles	aku suka mi
i like rabbits	aku suka kelinci
i like singing	aku suka bernyanyi
i like surfing	saya suka berselancar
i like to sing	saya suka bernyanyi
i love dessert	saya suka makanan penutup
i love lasagna	aku suka lasagna
i must decline	aku harus menolak
i need a stamp	aku butuh perangko
i need friends	saya butuh teman
i said go home	aku bilang pulanglah
i teach french	saya mengajar bahasa prancis
i turned right	saya belok ke kanan
i want a puppy	aku ingin seekor anak anjing
i want popcorn	aku mau popcorn
i want to play	saya ingin main
i wear glasses	saya memakai kacamata
i will testify	saya akan bersaksi
i won t eat it	aku tidak mau memakannya
i won t eat it	saya tidak mau memakan itu
i d rather die	lebih baik aku mati
i ll ask later	aku akan tanya nanti
i ll come too	aku akan datang juga
i ll help too	saya akan bantu juga
i ll need help	aku akan membutuhkan bantuan
i ll phone you	aku akan meneleponmu
i ll wait here	aku akan menunggu di sini
i ll work hard	saya akan bekerja keras
i m a free man	aku adalah lelaki yang bebas
i m illiterate	aku buta huruf
i m interested	aku tertarik
i m interested	saya tertarik
i m not a baby	saya bukan bayi
i m not guilty	aku tidak bersalah
i m not joking	aku tidak bercanda
i m not joking	aku tidak sedang bercanda
i m not pretty	aku tidak cantik
i m not stupid	saya tidak bodoh
i m reasonable	aku orang yang rasional
i m sick of it	aku muak dengan hal itu
i m still here	saya masih di sini
i m still here	aku masih di sini
i m very angry	aku sangat marah
i m very happy	saya sangat senang
i m very happy	saya senang sekali
i m very tired	aku sangat capek
i ve moved out	aku sudah pindah
is this a hoax	ini hoaks
it isn t a toy	itu bukan mainan
it must be tom	itu pasti tom
it s ok to cry	menangis itu tidak apa apa
it s hot today	hari ini panas
it s not a toy	itu bukan mainan
it s up to you	terserah padamu
just forget it	lupakan saja
just go for it	lakukan saja
keep tom quiet	jaga agar tom tetap diam
keep me posted	terus kabari aku
leave it to me	serahkan semuanya padaku
leave it to me	serahkan padaku
leave me alone	tinggalkan aku sendiri
leave me alone	tinggalkan aku sendiri
let us go home	mari kita pulang
lying is wrong	berbohong adalah perbuatan yang salah
may i kiss you	bolehkah aku menciummu
may i kiss you	boleh aku menciummu
my dad is busy	ayahku sibuk
my dad is busy	ayahku sedang sibuk
my hair is wet	rambut saya basah
only god knows	hanya tuhan yang tahu
peel the apple	kupas apel itu
peel the apple	kupaslah apel
please come in	silakan masuk
please stop it	tolong hentikan itu
read this book	bacalah buku ini
read this book	baca buku ini
rise and shine	bangunlah
she is running	dia sedang lari
she is talking	dia sedang berbicara
she kissed him	dia menciumnya
she looked ill	dia tampak sakit
she looked ill	dia terlihat sakit
she swims well	dia jago renang
she s a beauty	dia seorang yang cantik
she s stubborn	dia bandel
she s stubborn	dia keras kepala
sit down there	duduklah di sana
so let s do it	jadi mari kita lakukan
stop screaming	berhenti berteriak
surfing is fun	berselancar itu menyenangkan
take your time	santai saja
thank you tom	terima kasih tom
thanks a bunch	terima kasih banyak
thanks a bunch	makasih banyak
thanks so much	terima kasih banyak
thanks so much	makasih banyak
that felt good	itu tadi enak
that was a lie	itu bohong
that was close	tadi itu hampir saja
that s a tower	itu menara
that s chicken	itu ayam
that s correct	itu benar
that s curious	itu aneh
that s cyanide	itu sianida
that s my line	harusnya aku yang bilang begitu
that s so cute	imut
that s strange	itu aneh
that s strange	anehnya
that s unlucky	sayang sekali
the tea is hot	tehnya panas
there is a cat	ada seekor kucing
there is a cat	ada kucing
they need help	mereka perlu bantuan
they quarreled	mereka bertengkar
they struggled	mereka berjuang
they will help	mereka akan membantu
this is a bear	ini beruang
this is a bear	ini seekor beruang
this is a crab	ini kepiting
this is a joke	bercanda
this is absurd	ini konyol
this is heaven	ini surga
this is my cat	ini kucing saya
this is so sad	ini sangat menyedihkan
this isn t fun	ini tidak menyenangkan
throw the ball	lempar bolanya
throw the ball	lempar bolanya
time to get up	waktunya bangun
tom apologized	tom meminta maaf
tom approached	tom mendekat
tom can t hear	tom tidak bisa mendengar
tom can t swim	tom tidak bisa berenang
tom can t walk	tom tidak bisa berjalan
tom found mary	tom menemukan mary
tom grows rice	tom menanam padi
tom hated mary	tom membenci mary
tom hates mary	tom membenci mary
tom ignored me	tom mengabaikanku
tom ignored me	tom tidak menghiraukanku
tom is a minor	tom masih di bawah umur
tom is a pilot	tom adalah seorang pilot
tom is a rabbi	tom adalah seorang rabi
tom is at home	tom ada di rumah
tom is cooking	tom sedang memasak
tom is curious	tom penasaran
tom is fasting	tom sedang berpuasa
tom is jittery	tom gelisah
tom is missing	tom hilang
tom is nervous	tom gugup
tom is panting	tom terengah engah
tom is smoking	tom sedang merokok
tom is talking	tom sedang berbicara
tom is thirsty	tom kehausan
tom is too fat	tom terlalu gemuk
tom is too old	tom sudah terlalu tua
tom is useless	tom tidak berguna
tom isn t home	tom tidak ada di rumah
tom isn t weak	tom tidak lemah
tom likes that	tom menyukainya
tom looks pale	tom terlihat pucat
tom loves mary	tom mencintai mary
tom passed out	tom pingsan
tom saw a wolf	tom melihat seekor serigala
tom sold bread	tom menjual roti
tom swims here	tom berenang di sini
tom trusts you	tom mempercayai kamu
tom was crying	tom menangis
tom was eating	tom sedang makan tadi
tom was insane	tom gila
tom won t mind	tom tidak akan keberatan
tom works hard	tom bekerja dengan keras
tom s not home	tom tidak ada di rumah
tom s not weak	tom tidak lemah
tom s painting	tom sedang melukis
tom s sleeping	tom sedang tidur
was it a dream	apakah tadi itu mimpi
wash your face	cuci mukamu
we eat at home	kita makan di rumah
we made a deal	kami membuat sebuah kesepakatan
we saw nothing	kami tidak melihat apa apa
we ll be happy	kami akan senang
we re confused	kami bingung
we re confused	kita bingung
we re confused	kami kebingungan
we re credible	kami dapat dipercaya
we re cultured	kami berbudaya
we re sociable	kami seorang yang mudah bergaul
what about tom	bagaimana dengan tom
what do you do	apa pekerjaanmu
what do you do	pekerjaan kamu apa
what if i fail	bagaimana kalau aku gagal
what s an axle	apa itu as
what s so hard	apa susahnya sih
where am i now	di mana aku sekarang
where are they	di mana mereka
where are they	di manakah mereka
where are they	mereka di mana
where were you	tadi kamu di mana
where were you	kamu di mana
where were you	tadi kau ada di mana
where s boston	boston itu di mana
where s my car	mobilku mana
who called tom	siapa yang menelepon tom
who called tom	siapa yang memanggil tom
whose are they	itu punya siapa
why do you ask	mengapa kamu bertanya
why is he here	kenapa dia ada di sini
yes of course	ya tentu saja
yes of course	ya tentunya
you have to go	kamu harus pergi
you re a drunk	kamu pemabuk
you re selfish	kamu egois
you re trapped	kamu terjebak
you re useless	kamu tidak berguna
you re welcome	sama sama
you re welcome	terima kasih kembali
am i alone here	apakah aku sendirian di sini
anyone can help	siapa pun bisa membantu
are these yours	apa ini milikmu
are we done yet	apa kita masih belum selesai
are we prepared	apakah kita siap
are you certain	apakah kamu yakin
are you certain	apakah anda yakin
are you certain	apa kau yakin
are you in love	apa kamu sedang jatuh cinta
are you kidding	apa kau bercanda
are you serious	apa kau serius
balls are round	bola itu bulat
call my husband	panggil suamiku
can i bring tom	boleh aku mengajak tom
can it be fixed	apa bisa dibetulkan
close that door	tutup pintu itu
close your book	tutup bukumu
congratulations	selamat
did you hear it	apakah kamu mendengarnya
do you have one	apa kamu punya satu
do you like rap	apakah kamu suka musik rap
do you love her	apakah kamu mencintainya
do you love him	apakah kamu mencintainya
do you see that	apa kamu melihatnya
do you see this	apa kamu melihat ini
do you think so	apa kamu pikir begitu
don t be afraid	jangan takut
don t be scared	jangan takut
don t bother me	jangan ganggu aku
don t forget us	jangan lupakan kami
don t get angry	jangan marah
don t get drunk	jangan mabuk
don t lie to me	jangan berbohong padaku
don t spit here	jangan meludah di sini
don t stay here	jangan menetap di sini
double the dose	gandakan dosisnya
enjoy your food	nikmati makananmu
enjoy your meal	selamat makan
enjoy your meal	nikmati makananmu
enjoy your meal	nikmati makananmu
enter your name	masukkan nama anda
follow that car	ikuti mobil itu
get your things	ambil barang barangmu
grab your stuff	ambil barangmu
he began to cry	dia mulai menangis
he bought a hat	dia membeli topi
he had jeans on	dia memakai celana jin
he had no money	dia tidak punya uang
he has no money	dia tidak punya uang
he has two cats	dia punya dua kucing
he is a student	dia seorang siswa
he kept working	dia terus bekerja
he likes tigers	dia suka macan
he likes to run	dia suka berlari
he looks gloomy	dia terlihat suram
he loves trains	dia suka kereta api
he plays soccer	dia bermain sepak bola
he said nothing	dia tidak berkata apa apa
he seems hungry	dia sepertinya sedang lapar
he was cheating	dia berselingkuh
he s a gardener	dia seorang tukang kebun
he s helping me	dia menolongku
he s my brother	dia kakak laki lakiku
he s my brother	dia kakakku
he s my brother	dia adikku
he s not in yet	dia masih belum ada
here s your bag	ini dia tasmu
hi how are you	hai bagaimana kabarmu
hi how are you	hai apa kabar
hi how are you	hai bagaimana kabarmu
his name is tom	namanya tom
hold on please	tolong tunggu sebentar
hold the candle	pegang lilinnya
how fascinating	sangat menarik
how is it going	apa kabar
how old are you	umur kamu berapa
how s your foot	bagaimana kakimu
i agree totally	saya sepenuhnya setuju
i am not stupid	saya tidak bodoh
i am very tired	aku sangat capek
i appreciate it	aku mengapresiasinya
i bought a flag	saya membeli bendera
i can trust tom	aku bisa memercayai tom
i can t bear it	saya tidak tahan
i can t breathe	aku tidak bisa bernapas
i can t do this	aku tidak bisa melakukan ini
i cry every day	aku menangis setiap hari
i do understand	aku mengerti
i don t see tom	aku tidak melihat tom
i found someone	aku menemukan seseorang
i get the point	aku paham maksudnya
i hate this rug	saya benci permadani ini
i have to sleep	saya harus tidur
i have to study	aku harus belajar
i have two cars	aku memiliki dua buah mobil
i have two cars	aku punya dua mobil
i have two cats	saya punya dua ekor kucing
i haven t slept	saya belum tidur
i haven t slept	aku belum tidur
i heard yelling	aku mendengar suara teriakan
i just finished	aku baru saja selesai
i know the girl	aku tahu perempuan itu
i like tomatoes	aku suka tomat
i like your car	aku suka mobilmu
i love eggplant	aku suka terung
i need his help	aku butuh bantuannya
i need his help	aku membutuhkan bantuannya
i need to study	aku perlu belajar
i owe you a lot	aku berutang banyak padamu
i play football	aku bermain sepak bola
i play football	saya bermain sepak bola
i run every day	aku berlari setiap hari
i surprised tom	aku mengangetkan tom
i think so too	aku juga berpikir begitu
i totally agree	saya sepenuhnya setuju
i want to sleep	aku ingin tidur
i will continue	saya akan lanjutkan
i will kill you	aku akan membunuhmu
i won t do that	aku tidak akan melakukan itu
i work with him	saya bekerja dengannya
i ll be at home	aku akan di rumah
i ll destroy it	aku akan menghancurkannya
i m dr jackson	saya dr jackson
i m a fisherman	aku nelayan
i m a historian	saya seorang sejarawan
i m almost done	aku hampir selesai
i m embarrassed	aku malu
i m going to go	aku akan pergi
i m going to go	saya akan pergi
i m just joking	aku cuma bercanda
i m living here	saya tinggal di sini
i m not a human	aku bukan manusia
i m not a robot	aku bukan robot
i m not a witch	aku bukan penyihir
i m not kidding	aku tidak bercanda
i m not kidding	aku tidak sedang bercanda
i m not leaving	aku tidak akan pergi
i m not working	saya tidak bekerja
i m only joking	saya hanya bergurau
i m only joking	aku cuma bercanda
i m still alive	aku masih hidup
i m still stuck	aku masih terjebak
i m tired of it	aku lelah dengan hal itu
i m very hungry	aku sangat lapar
i m your doctor	saya dokter anda
i m your friend	aku temanmu
i ve had enough	aku sudah muak
is tom autistic	apakah tom autis
is tom autistic	apakah tom autistik
is it important	itu penting
is this a dream	apa ini mimpi
is this a dream	apakah ini mimpi
is this correct	apa ini benar
is this correct	apakah ini benar
it is up to you	terserah padamu
it isn t enough	ini tidak cukup
it isn t enough	itu tidak cukup
it looked cheap	kelihatannya itu murah
it snowed today	hari ini turun salju
it sounds great	kedengarannya bagus
it was a thrill	tadi itu seru sekali
it was my fault	itu salahku
it wasn t funny	ini tidak lucu
it won t be fun	itu tidak akan menyenangkan
it won t happen	itu tidak akan terjadi
it s impossible	itu mustahil
it s inevitable	itu tidak bisa dihindari
it s just water	itu cuma air
it s no problem	tidak masalah
it s not a joke	ini bukan lelucon
it s not broken	ini tidak rusak
it s not enough	ini tidak cukup
it s not enough	itu tidak cukup
it s not my car	ini bukan mobilku
it s past eight	sekarang jam delapan lebih
it s past eight	sekarang lewat jam delapan
it s ridiculous	ini konyol
it s ridiculous	itu konyol
it s time to go	sudah waktunya untuk pergi
it s two thirty	sekarang jam setengah tiga
let me check it	biarkan aku memeriksanya
let me see that	biarkan aku melihatnya
let s come back	ayo kembali
let s do it now	mari kita lakukan sekarang
let s fly kites	ayo menerbangkan layang layang
let s fly kites	ayo kita bermain layang layang
let s turn back	ayo kembali
maybe next time	mungkin lain kali
merry christmas	selamat hari natal
merry christmas	selamat natal
mistakes happen	kesalahan bisa terjadi
mom i m hungry	mama aku lapar
my house is big	rumahku besar
my shift s over	sifku berakhir
nature is cruel	alam itu kejam
never forget it	jangan lupakan itu
never tell lies	jangan pernah berbohong
now you re safe	sekarang anda sudah aman
open the bottle	buka botolnya
please fix that	tolong betulkan itu
please fix this	tolong betulkan ini
please sit down	silakan duduk
push the button	tekan tombolnya
raise your hand	angkat tanganmu
read this first	baca ini dulu
rejection hurts	penolakan itu menyakitkan
remind me later	ingatkan saya nanti
remind me later	ingatkan aku nanti
she has one cat	dia punya seekor kucing
she is a beauty	dia seorang yang cantik
she is stubborn	dia keras kepala
she looks happy	dia terlihat bahagia
she looks young	dia terlihat muda
she married him	ia menikah dengannya
she married him	ia menikahinya
she took it off	dia menanggalkannya
she was perfect	dia sempurna
she went inside	dia masuk ke dalam
she went inside	dia masuk
she s assertive	ia tegas
she s assertive	dia tegas
she s beautiful	dia cantik
she s my sister	dia kakakku
she s my sister	dia adikku
sorry i forgot	maaf saya melupakannya
thanks for this	terima kasih untuk ini
that dog jumped	anjing itu lompat
that isn t fair	itu tidak adil
that s a secret	itu rahasia
that s nonsense	itu omong kosong
that s peculiar	itu aneh
the book is red	buku itu berwarna merah
the car is blue	mobilnya biru
the pay is good	bayarannya bagus
the pay is good	gajinya bagus
the room is hot	ruangannya panas
the sky is blue	langit berwarna biru
the sky is blue	langit itu biru
